consulta,necesita_grafico,tipo_grafico
presenta en gráfico las ventas mensuales,1,barras
Haz un gráfico de los precios promedio por marca,True,barras
Necesito presenta en gráfico los productos por categoría,True,barras
haz un gráfico de los precios promedio por marca,1,barras
extrae los top 10 productos más vendidos y haz un plot,1,lineal
productos por categoría y muestra un gráfico de barras,1,barras
Dame productos que tienen descuento activo,True,barras
Mostrar precios promedio por marca incluyendo gráfica,True,barras
graficar las ventas mensuales,1,lineal
Requiero muestra gráfico los productos más vendidos,True,barras
Requiero dibuja un gráfico con los clientes por grupo de edad,True,barras
Sería posible generar chart la participación de mercado,1,circular
graficar la correlación precio-ventas,1,barras
Crecimiento de clientes registrados,True,lineal
productos con mayor margen con gráfico,1,barras
Mostrar muestrame los productos por categoría y presenta un gráfico,True,barras
Consulta: genera chart los métodos de pago,1,barras
ventas por temporada incluyendo gráfica,1,lineal
LISTA LOS PRECIOS PROMEDIO POR MARCA Y MUESTRA UN GRÁFICO,True,barras
dibujar gráfico el stock por categoría,1,lineal
Tendencia de productos más vendidos,1,lineal
Podrías genera una gráfica de los ventas por temporada,True,barras
Quiero extrae los descuentos aplicados y haz un plot,1,barras
Correlación entre descuento y volumen de ventas?,True,dispersion
ventas mensuales del último año incluyendo gráfica?,True,lineal
LISTA LOS DESCUENTOS APLICADOS Y MUESTRA UN GRÁFICO,True,barras
stock por categoría con gráfico circular?,True,circular
Requiero consulta los productos por categoría y genera un chart,1,barras
Obtener crea plot la distribución de clientes,1,histograma
consulta los precios promedio por marca y genera un chart,1,barras
Consulta: compras por proveedor y muestra un gráfico de barras,True,barras
plotear las ventas mensuales,1,dispersion
Necesito crea plot el stock por categoría,1,barras
consulta los top 10 productos más vendidos y genera un chart,1,barras
ventas por temporada con gráfico?,True,barras
grafica las ventas por hora,1,barras
Sería posible presenta en gráfico la correlación precio-ventas,True,dispersion
ventas por vendedor visualizado en línea,1,lineal
productos con mayor margen y muestra histograma por favor,True,histograma
ventas por vendedor y muestra un gráfico de barras por favor,True,barras
Me gustaría descuentos aplicados agregando chart,1,barras
Lista los ventas mensuales del último año y muestra un gráfico,True,lineal
ventas por vendedor y muestra un gráfico de barras,1,barras
visualizar la distribución de clientes,1,histograma
Dame ventas por temporada incluyendo gráfica,True,barras
Quiero dibuja un gráfico con los clientes por grupo de edad,True,barras
MOVIMIENTOS DE INVENTARIO DEL PRODUCTO ID 10,True,barras
Necesito muestrame los ventas mensuales del último año y presenta un gráfico,True,lineal
Quiero plotea el stock por categoría,1,barras
transacciones por estado con gráfico,1,barras
dibujar gráfico los métodos de pago,True,barras
Me gustaría top 10 productos más vendidos con gráfico de dispersión,True,dispersion
Podrías mostrame los primeros 5 clientes ordenados alfabéticamente y grafica los resultados,1,barras
Consulta: genera una gráfica de los compras por proveedor,True,barras
Métricas de rendimiento,0,ninguno
Necesito visualiza en un gráfico los productos con mayor margen,True,barras
plotea el stock por categoría,1,dispersion
DIBUJAR GRÁFICO LOS MÉTODOS DE PAGO,True,barras
Quiero primeros 5 clientes ordenados alfabéticamente y muestra un gráfico de barras,True,barras
Podrías consulta los movimientos de inventario y genera un chart,1,barras
Obtener productos por categoría y graficalo en barras,1,barras
Solicito crea un plot de los métodos de pago más utilizados,1,barras
Consulta: presenta en gráfico los ventas por vendedor,True,barras
Sería posible plotear la distribución de clientes,1,histograma
Compras por proveedor visualizado en línea,True,lineal
Solicito mostrar gráfico la distribución de clientes,True,histograma
Sería posible buscar cliente por nombre juan pérez,False,ninguno
Sería posible clientes registrados por mes,True,barras
Quiero ventas por temporada con gráfico,True,barras
Dame productos sin stock y muestra un gráfico de barras,True,barras
estados de venta y muestra histograma,1,histograma
stock por categoría y muestra un gráfico de barras,1,barras
visualiza en un gráfico los productos sin stock,1,circular
Obtener precios promedio por marca visualizado en línea,True,lineal
Ventas mensuales del último año por favor,False,ninguno
plotear la participación de mercado,1,dispersion
Sería posible productos por categoría en gráfico lineal,True,lineal
Me gustaría porcentaje de métodos de pago utilizados,True,circular
Reporte de desempeño,False,ninguno
productos con mayor margen visualizado en línea,1,lineal
top 10 productos más vendidos visualizado en línea,1,lineal
Necesito dibujar gráfico los productos más vendidos,True,barras
plotea la participación de mercado por favor,1,circular
ventas por temporada en gráfico lineal,True,lineal
Me gustaría plotea los métodos de pago,1,barras
presenta en gráfico la distribución de clientes,1,barras
Me gustaría dame los compras por proveedor y graficalos,1,barras
Sería posible dame los tipos de comprobante y graficalos,1,barras
top 10 productos más vendidos con gráfico,1,barras
Ventas del día de hoy,0,ninguno
visualiza el stock por categoría,True,barras
Consulta: Proporción de tipos de comprobante,False,ninguno
Obtener mostrame los tipos de comprobante y grafica los resultados,1,barras
Podrías movimientos de inventario y haz un gráfico de pastel,True,circular
Mostrar mostrar detalle de venta número 001-000123,False,ninguno
distribución de edades de clientes,False,ninguno
Me gustaría primeros 5 clientes ordenados alfabéticamente y haz un gráfico de pastel,True,circular
productos sin stock y muestra un gráfico de barras,1,barras
Mostrar extrae los productos por categoría y haz un plot,1,barras
Solicito mostrar detalle de venta número 001-000123,False,ninguno
plotea los métodos de pago,1,dispersion
Requiero generar chart la frecuencia de compras,1,histograma
MOSTRAME LOS PRODUCTOS POR CATEGORÍA Y GRAFICA LOS RESULTADOS,1,barras
Podrías generar chart el stock por categoría,1,barras
dibujar gráfico la frecuencia de compras,True,histograma
Requiero grafica la evolución de precios,1,lineal
Crea un plot de los ventas por vendedor,1,barras
Obtener ventas por cliente con id 25,True,barras
haz un gráfico de los ventas por hora del día,1,barras
Sería posible grafica la distribución de clientes,1,histograma
Sería posible ventas por temporada visualizado en línea,True,lineal
Consulta: métodos de pago más utilizados en gráfico lineal,True,lineal
extrae los primeros 5 clientes ordenados alfabéticamente y haz un plot,1,barras
dibuja gráfico las ventas por hora,1,lineal
productos por categoría con gráfico circular,1,circular
Obtener haz un gráfico de los ventas mensuales del último año,True,lineal
Sería posible visualizar la frecuencia de compras,1,histograma
Dame ventas por vendedor y muestra histograma,True,histograma
Sería posible hacer gráfica la distribución de clientes,True,histograma
LISTA LOS PRODUCTOS SIN STOCK Y MUESTRA UN GRÁFICO,True,barras
PLOTEA LAS VENTAS MENSUALES,1,lineal
Solicito ventas mensuales del último año y muestra histograma,True,histograma
Mostrar obten los clientes registrados por mes y visualizalos en un gráfico,True,barras
top 10 productos más vendidos con gráfico,True,barras
Necesito presenta en gráfico las ventas por hora,True,barras
Sería posible estados de venta con gráfico circular,True,circular
Primeros 5 clientes ordenados alfabéticamente y muestra histograma,True,histograma
Productos que tienen descuento activo,0,ninguno
COMPRAS POR PROVEEDOR Y HAZ UN GRÁFICO DE PASTEL,True,circular
Mostrar dame los compras por proveedor y graficalos,1,barras
Solicito hacer gráfica los métodos de pago,True,barras
mostrar gráfico la distribución de clientes,1,circular
Productos con stock menor al mínimo,0,ninguno
Requiero crea plot la evolución de precios,1,lineal
Stock por categoría de productos,1,barras
Podrías muestra gráfico la distribución de clientes,True,histograma
PRIMEROS 5 CLIENTES ORDENADOS ALFABÉTICAMENTE AGREGANDO CHART,1,barras
GRAFICA LOS PRODUCTOS POR CATEGORÍA,1,barras
Productos de la categoría Ropa,0,ninguno
Obtener muestra gráfico la participación de mercado,True,circular
Solicito productos con mayor margen con gráfico,True,barras
plotear la participación de mercado?,1,circular
stock por categoría y muestra un gráfico de barras,True,barras
Requiero tipos de comprobante incluyendo gráfica,True,barras
visualiza en un gráfico los productos por categoría?,True,barras
clientes registrados por mes y graficalo en barras,1,barras
Necesito dame los productos por categoría y graficalos,1,barras
Distribución de ventas por categoría,1,circular
Solicito obten los ventas por vendedor y visualizalos en un gráfico,True,barras
Quiero productos más vendidos por categoría,True,barras
graficar la correlación precio-ventas?,1,dispersion
graficar la evolución de precios,1,barras
Me gustaría productos sin stock y graficalo en barras,1,barras
Sería posible stock por categoría de productos,False,ninguno
Mostrar grafica el stock por categoría,1,barras
Me gustaría busca los clientes por grupo de edad y crea una gráfica,True,barras
haz gráfica la participación de mercado,1,circular
Requiero distribución de clientes por grupo de edad,True,histograma
Necesito relación entre precio y cantidad vendida,True,dispersion
movimientos de inventario y gráfico,1,barras
Obtener tendencia de productos más vendidos,False,ninguno
transacciones por estado con gráfico circular,1,circular
Sería posible grafica los productos por categoría,1,barras
MOSTRAR GRÁFICO LAS VENTAS POR HORA,True,barras
Sería posible transacciones por estado con gráfico circular,True,circular
Podrías stock actual de todos los productos,False,ninguno
Podrías productos por categoría visualizado en línea,True,lineal
Requiero top 10 productos más vendidos agregando chart,1,barras
dibujar gráfico el stock por categoría?,True,barras
Porcentaje de métodos de pago utilizados,1,circular
Dame muestrame los ventas por hora del día y presenta un gráfico,True,barras
Obtener ventas por temporada visualizado en línea,True,lineal
precios promedio por marca incluyendo gráfica?,True,barras
Consulta: presenta en gráfico los ventas por vendedor,True,barras
Me gustaría busca los clientes registrados por mes y crea una gráfica,True,barras
Necesito compras por proveedor y graficalo en barras,1,barras
Requiero haz gráfica el stock por categoría,True,barras
generar chart los productos más vendidos por favor,1,barras
Solicito productos con mayor margen con gráfico de dispersión,True,dispersion
DAME LOS VENTAS MENSUALES DEL ÚLTIMO AÑO Y GRAFICALOS,1,lineal
genera chart el stock por categoría,1,barras
Dame proveedores con ruc que empieza con 20,False,ninguno
Necesito visualizar las ventas por hora,1,barras
Ventas por vendedor,1,barras
Podrías muestrame los descuentos aplicados y presenta un gráfico,True,barras
Requiero genera chart los productos más vendidos,1,barras
stock por categoría visualizado en línea,1,lineal
Mostrar primeros 5 clientes ordenados alfabéticamente y muestra histograma,True,histograma
Necesito muestrame los productos por categoría y presenta un gráfico,True,barras
muestra en un chart los ventas mensuales del último año,1,lineal
compras por proveedor y haz un gráfico de pastel?,True,circular
primeros 5 clientes ordenados alfabéticamente con gráfico de dispersión,True,dispersion
Consulta: grafica los primeros 5 clientes ordenados alfabéticamente,1,barras
Necesito estados de venta y muestra histograma,True,histograma
Podrías productos por categoría agregando chart,1,barras
primeros 5 clientes ordenados alfabéticamente y haz un gráfico de pastel?,True,circular
stock por categoría con gráfico circular,1,circular
Solicito haz gráfica la evolución de precios,True,lineal
Crea plot la evolución de precios,1,lineal
Podrías dibuja gráfico los métodos de pago,True,barras
Necesito análisis de tendencias,False,ninguno
Podrías generar chart las ventas por hora,1,barras
Obtener ventas mensuales del último año y muestra un gráfico de barras,True,barras
VISUALIZA EN UN GRÁFICO LOS VENTAS POR VENDEDOR,True,barras
visualiza los métodos de pago,1,lineal
Muestra en un chart los productos con mayor margen,1,barras
Graficar los productos más vendidos,1,barras
Podrías descuentos aplicados en gráfico lineal,True,lineal
muestra en un chart los movimientos de inventario,1,lineal
productos por categoría en gráfico lineal,True,lineal
MOVIMIENTOS DE INVENTARIO CON GRÁFICO CIRCULAR,True,circular
crea plot la participación de mercado,1,lineal
Solicito graficar la distribución de clientes,1,histograma
movimientos de inventario con gráfico,1,barras
Busca los precios promedio por marca y crea una gráfica,True,barras
mostrame los productos por categoría y grafica los resultados,1,barras
COMPRAS POR PROVEEDOR Y MUESTRA GRÁFICO,True,barras
Sería posible crear plot el stock por categoría,1,barras
visualiza la distribución de clientes,True,histograma
extrae los ventas por hora del día y haz un plot por favor,1,barras
dibuja un gráfico con los productos por categoría,1,barras
genera chart la correlación precio-ventas,1,barras
precios promedio por marca y graficalo en barras,1,barras
Podrías dispersión de precios por categoría,True,dispersion
genera chart la participación de mercado,1,barras
Quiero lista los clientes por grupo de edad y muestra un gráfico,True,barras
Quiero ventas por cliente con id 25,True,barras
visualizar la correlación precio-ventas,1,lineal
Me gustaría dibujar gráfico las ventas mensuales,True,lineal
primeros 5 clientes ordenados alfabéticamente y haz un gráfico de pastel,1,circular
visualiza los productos más vendidos,1,lineal
ventas por hora del día con gráfico por favor,True,barras
Necesito descuentos aplicados con gráfico,True,barras
Obtener dibuja gráfico las ventas por hora,True,barras
Requiero crea plot la correlación precio-ventas,1,dispersion
Podrías visualiza en un gráfico los precios promedio por marca,True,barras
obten los ventas mensuales del último año y visualizalos en un gráfico,1,circular
Quiero estados de venta y muestra gráfico,True,barras
Necesito mostrar gráfico los productos más vendidos,True,barras
Sería posible productos con mayor margen visualizado en línea,True,lineal
Consulta: dibuja un gráfico con los productos por categoría,True,barras
ventas por vendedor visualizado en línea?,True,lineal
Quiero genera chart la evolución de precios,1,lineal
Ventas canceladas en la última semana,False,ninguno
Quiero visualiza en un gráfico los productos con mayor margen,True,barras
Crea un plot de los métodos de pago más utilizados,1,barras
Necesito productos con mayor margen de ganancia,True,barras
Podrías compras por proveedor visualizado en línea,True,lineal
Obtener dame los compras por proveedor y graficalos,1,barras
Consulta: consulta los top 10 productos más vendidos y genera un chart,1,barras
Consulta: consulta los transacciones por estado y genera un chart,1,barras
Ventas por temporada agregando chart,1,barras
ventas mensuales del último año y graficalo en barras,1,barras
generar chart el stock por categoría,1,barras
ventas por hora del día agregando chart,1,barras
Podrías productos que tienen descuento activo,False,ninguno
Sería posible muestra gráfico la frecuencia de compras,True,histograma
Solicito hacer gráfica la correlación precio-ventas,True,dispersion
precios promedio por marca y graficalo en barras,1,barras
dibuja gráfico el stock por categoría por favor,True,barras
Plotear la frecuencia de compras,1,histograma
Obtener ventas por vendedor y muestra histograma,True,histograma
Buscar productos por color rojo,0,ninguno
Dame distribución de ventas por categoría,True,histograma
crear plot la participación de mercado,1,circular
stock por categoría y muestra gráfico,1,circular
precios promedio por marca y graficalo en barras,1,barras
Obtener ventas por temporada visualizado en línea,True,lineal
Quiero stock por categoría con gráfico circular,True,circular
presentar en gráfico las ventas mensuales,1,barras
muestrame los ventas por hora del día y presenta un gráfico?,True,barras
Solicito haz gráfica la distribución de clientes,True,histograma
Quiero muestra en un chart los ventas por vendedor,1,barras
Productos de la categoría Ropa,False,ninguno
ventas por temporada visualizado en línea?,True,lineal
Dame visualiza en un gráfico los stock por categoría,True,barras
Quiero transacciones por estado y gráfico,True,barras
dame los productos sin stock y graficalos,1,barras
dibuja gráfico el stock por categoría,1,lineal
Dame buscar productos por color rojo,False,ninguno
Me gustaría obten los movimientos de inventario y visualizalos en un gráfico,True,barras
ACTUALIZAR TELÉFONO DEL CLIENTE CON ID 15,False,ninguno
productos sin stock con gráfico circular,1,circular
dibuja gráfico las ventas mensuales,1,lineal
Podrías evolución del inventario total,False,ninguno
Obtener ventas mensuales del último año y muestra un gráfico de barras,True,barras
Dame transacciones por estado con gráfico,True,barras
precios promedio por marca en gráfico lineal,True,lineal
Consulta: consulta los tipos de comprobante y genera un chart,1,barras
Obtener transacciones pendientes de confirmación,False,ninguno
presentar en gráfico los métodos de pago,1,barras
Obtener crea un plot de los ventas por hora del día,1,barras
Podrías presentar en gráfico las ventas mensuales,True,lineal
Podrías mostrame los compras por proveedor y grafica los resultados,1,barras
estados de venta con gráfico de dispersión,1,dispersion
Quiero ventas por vendedor con gráfico de dispersión,True,dispersion
haz gráfica la correlación precio-ventas,1,circular
Requiero histograma de cantidades vendidas,True,histograma
Mostrar dame los tipos de comprobante y graficalos,1,barras
Sería posible muestra en un chart los ventas por vendedor,1,barras
presentar en gráfico la evolución de precios,True,lineal
Compras realizadas al proveedor ID 5,0,ninguno
Consulta: consulta los stock por categoría y genera un chart,1,barras
Sería posible genera chart los métodos de pago,1,barras
Me gustaría productos con mayor margen con gráfico circular,True,circular
Sería posible variación de precios de productos,False,ninguno
consulta los estados de venta y genera un chart?,1,barras
dibujar gráfico las ventas por hora,1,lineal
crea plot los productos más vendidos?,1,barras
Me gustaría descuentos aplicados y muestra un gráfico de barras,True,barras
Podrías productos por categoría y graficalo en barras,1,barras
Sería posible genera chart la correlación precio-ventas,1,dispersion
Dame top 10 productos más vendidos y gráfico,True,barras
Me gustaría tipos de comprobante con gráfico,True,barras
dibuja un gráfico con los clientes registrados por mes,1,barras
Grafica los ventas por vendedor,1,barras
Obtener productos con mayor margen con gráfico circular,True,circular
Mostrar genera una gráfica de los primeros 5 clientes ordenados alfabéticamente,True,barras
PAGOS REALIZADOS CON TARJETA DE CRÉDITO,False,ninguno
muestra en un chart los transacciones por estado por favor,1,barras
Requiero obten los clientes registrados por mes y visualizalos en un gráfico,True,barras
Mostrar dibujar gráfico los productos más vendidos,True,barras
Mostrar correlación entre descuento y volumen de ventas,False,ninguno
Podrías top 10 productos más vendidos en gráfico lineal,True,lineal
descuentos aplicados y gráfico,1,barras
dibujar gráfico la correlación precio-ventas,1,lineal
MUESTRA LOS DATOS DEL CLIENTE CON DNI 12345678,False,ninguno
Necesito ventas mensuales del último año con gráfico de dispersión,True,dispersion
Consulta: visualizar la evolución de precios,1,lineal
Requiero ventas por temporada con gráfico de dispersión,True,dispersion
Quiero muestra en un chart los movimientos de inventario,1,barras
Porcentaje de productos con descuento,1,circular
Obtener obten los movimientos de inventario y visualizalos en un gráfico,True,barras
consulta los estados de venta y genera un chart,1,barras
dame los compras por proveedor y graficalos,1,barras
Sería posible generar chart los métodos de pago,1,barras
Métodos de pago más utilizados en gráfico lineal,True,lineal
Quiero extrae los estados de venta y haz un plot,1,barras
consulta los movimientos de inventario y genera un chart,1,barras
Consulta: productos sin stock y graficalo en barras,1,barras
Me gustaría lista los ventas por hora del día y muestra un gráfico,True,barras
top 10 productos más vendidos y muestra histograma,True,histograma
Consulta: Transacciones rechazadas este mes,True,barras
crea un plot de los clientes por grupo de edad,1,dispersion
extrae los top 10 productos más vendidos y haz un plot,1,barras
Podrías métodos de pago más utilizados y muestra gráfico,True,barras
Mostrar visualiza en un gráfico los ventas mensuales del último año,True,lineal
Dame haz gráfica los métodos de pago,True,barras
Descuentos aplicados incluyendo gráfica,True,barras
obten los movimientos de inventario y visualizalos en un gráfico,1,circular
Quiero stock por categoría con gráfico,True,barras
Consulta: haz un gráfico de los top 10 productos más vendidos,True,barras
presenta en gráfico las ventas por hora por favor,True,barras
Mostrar presenta en gráfico los productos por categoría,True,barras
Ventas por vendedor?,True,barras
Dame muestra gráfico la evolución de precios,True,lineal
lista los productos sin stock y muestra un gráfico por favor,True,barras
graficar los productos más vendidos por favor,1,barras
primeros 5 clientes ordenados alfabéticamente con gráfico de dispersión,True,dispersion
Muestra gráfico la correlación precio-ventas,True,dispersion
genera chart los productos más vendidos,1,barras
Consulta: plotear la participación de mercado,1,circular
Requiero estados de venta y muestra histograma,True,histograma
Requiero métodos de pago más utilizados y muestra gráfico,True,barras
stock por categoría con gráfico por favor,True,barras
crea un plot de los clientes registrados por mes?,1,barras
dibujar gráfico las ventas mensuales,1,lineal
Quiero haz un gráfico de los precios promedio por marca,True,barras
grafica los precios promedio por marca?,1,barras
Requiero participación de marcas en ventas,True,circular
Consulta: haz un gráfico de los transacciones por estado,True,barras
clientes por grupo de edad y haz un gráfico de pastel,1,circular
genera una gráfica de los ventas por vendedor,True,barras
muestrame los transacciones por estado y presenta un gráfico,1,circular
LISTA LOS PRODUCTOS POR CATEGORÍA Y MUESTRA UN GRÁFICO,True,barras
haz un gráfico de los ventas por hora del día,True,barras
Sería posible generar chart la evolución de precios,1,lineal
muestrame los precios promedio por marca y presenta un gráfico,1,circular
extrae los descuentos aplicados y haz un plot por favor,1,barras
generar chart las ventas mensuales,1,barras
Necesito muestrame los precios promedio por marca y presenta un gráfico,True,barras
Consulta: Clientes registrados por mes,True,barras
Requiero métricas de rendimiento,True,barras
Me gustaría mostrar gráfico la correlación precio-ventas,True,dispersion
VISUALIZA EN UN GRÁFICO LOS CLIENTES POR GRUPO DE EDAD,True,barras
muestrame los compras por proveedor y presenta un gráfico,1,circular
dibujar gráfico la distribución de clientes,1,lineal
genera una gráfica de los primeros 5 clientes ordenados alfabéticamente por favor,True,barras
Requiero movimientos de inventario incluyendo gráfica,True,barras
presenta en gráfico los precios promedio por marca,1,circular
Podrías genera una gráfica de los tipos de comprobante,True,barras
Consulta: graficar la participación de mercado,1,circular
crea plot la correlación precio-ventas?,1,dispersion
genera una gráfica de los compras por proveedor,1,histograma
Sería posible clientes inactivos en el sistema,True,barras
Quiero productos sin stock en gráfico lineal,True,lineal
obten los ventas por vendedor y visualizalos en un gráfico por favor,True,barras
Quiero visualizar el stock por categoría,1,barras
Sería posible primeros 5 clientes ordenados alfabéticamente y muestra histograma,True,histograma
extrae los tipos de comprobante y haz un plot,1,lineal
top 10 productos más vendidos con gráfico circular,True,circular
Solicito crea un plot de los clientes por grupo de edad,1,barras
HACER GRÁFICA LAS VENTAS POR HORA,True,barras
clientes registrados por mes y muestra histograma,1,histograma
Dame busca los compras por proveedor y crea una gráfica,True,barras
visualizar la distribución de clientes?,1,histograma
Productos que necesitan reposición?,False,ninguno
Relación stock mínimo vs stock actual,1,dispersion
Buscar productos de la marca Nike,0,ninguno
Requiero graficar las ventas por hora,1,barras
Podrías productos por categoría con gráfico de dispersión,True,dispersion
graficar los productos más vendidos,1,barras
Extrae los productos por categoría y haz un plot,1,barras
Tendencia de stock de un producto específico,True,lineal
Requiero plotea la frecuencia de compras,1,histograma
Progresión de ventas acumuladas?,True,lineal
Necesito lista los productos sin stock y muestra un gráfico,True,barras
presenta en gráfico los métodos de pago más utilizados,True,barras
crear plot la distribución de clientes?,1,histograma
haz gráfica la evolución de precios,1,circular
DIBUJAR GRÁFICO LA PARTICIPACIÓN DE MERCADO,True,circular
Requiero genera chart los productos más vendidos,1,barras
Sería posible tipos de comprobante y muestra gráfico,True,barras
presenta en gráfico los métodos de pago,True,barras
Solicito grafica los precios promedio por marca,1,barras
Dame productos por categoría y muestra un gráfico de barras,True,barras
muestra gráfico la distribución de clientes,1,circular
Obtener visualiza la correlación precio-ventas,True,dispersion
clientes registrados por mes en gráfico lineal,True,lineal
Solicito movimientos de inventario y muestra histograma,True,histograma
muestra gráfico los métodos de pago por favor,True,barras
graficar la frecuencia de compras,1,barras
Solicito visualiza la evolución de precios,True,lineal
MUESTRAME LOS MOVIMIENTOS DE INVENTARIO Y PRESENTA UN GRÁFICO,True,barras
Historial de movimientos de hoy,0,ninguno
Requiero precios promedio por marca visualizado en línea,True,lineal
crear plot las ventas por hora por favor,1,barras
ventas mensuales del último año,True,lineal
RELACIÓN ENTRE PRECIO Y CANTIDAD VENDIDA,False,ninguno
Sería posible transacciones por estado con gráfico circular,True,circular
top 10 productos más vendidos y graficalo en barras,1,barras
Podrías productos por categoría con gráfico de dispersión,True,dispersion
Estadísticas de ventas?,False,ninguno
Distribución de estados de venta,1,circular
Necesito crear plot la correlación precio-ventas,1,dispersion
presenta en gráfico los tipos de comprobante,True,barras
Me gustaría pagos realizados con tarjeta de crédito,True,barras
Consulta: consulta los productos sin stock y genera un chart,1,barras
grafica los stock por categoría,1,barras
Podrías estadísticas de ventas,False,ninguno
Me gustaría hacer gráfica el stock por categoría,True,barras
GRAFICAR LA FRECUENCIA DE COMPRAS,1,histograma
productos por categoría agregando chart?,1,barras
Obtener visualiza en un gráfico los precios promedio por marca,True,barras
plotea los productos más vendidos,1,dispersion
muestra en un chart los productos sin stock,1,lineal
Dame grafica las ventas mensuales,1,lineal
generar chart los métodos de pago,1,barras
productos sin stock en gráfico lineal,1,lineal
dibujar gráfico la participación de mercado?,True,circular
Correlación entre descuento y volumen de ventas,1,dispersion
Requiero clientes registrados por mes con gráfico circular,True,circular
graficar las ventas mensuales,1,barras
extrae los tipos de comprobante y haz un plot,1,barras
Sería posible plotear la distribución de clientes,1,histograma
presentar en gráfico la evolución de precios,1,barras
¿Cuántos clientes se registraron este mes?,0,ninguno
Necesito crear plot la participación de mercado,1,circular
dame los productos por categoría y graficalos?,1,barras
Quiero stock por categoría agregando chart,1,barras
Requiero ventas por vendedor visualizado en línea,True,lineal
Obtener ventas por temporada y haz un gráfico de pastel,True,circular
Ventas por temporada con gráfico de dispersión,True,dispersion
Sería posible crear plot la evolución de precios,1,lineal
movimientos de inventario con gráfico de dispersión,1,dispersion
haz gráfica la frecuencia de compras por favor,True,histograma
visualiza la frecuencia de compras,True,histograma
Quiero plotea las ventas mensuales,1,lineal
lista los precios promedio por marca y muestra un gráfico,1,barras
Requiero crea un plot de los ventas por vendedor,1,barras
Dame precios promedio por marca incluyendo gráfica,True,barras
Solicito visualizar las ventas mensuales,1,lineal
Obtener presenta en gráfico los métodos de pago,True,barras
Dame clientes por grupo de edad y haz un gráfico de pastel,True,circular
Dame muestra los datos del cliente con dni 12345678,False,ninguno
Hacer gráfica el stock por categoría,True,barras
PLOTEAR LA EVOLUCIÓN DE PRECIOS,1,lineal
top 10 productos más vendidos y muestra un gráfico de barras,1,barras
Mostrar dame los productos con mayor margen y graficalos,1,barras
genera una gráfica de los ventas por vendedor,True,barras
grafica el stock por categoría,1,barras
Consulta: muestrame los compras por proveedor y presenta un gráfico,True,barras
clientes registrados por mes y gráfico,True,barras
Obtener muestra gráfico la evolución de precios,True,lineal
Necesito haz gráfica la distribución de clientes,True,histograma
Consulta: descuentos aplicados incluyendo gráfica,True,barras
Resumen de ventas del mes actual por favor,True,barras
visualiza las ventas por hora por favor,True,barras
Podrías stock actual de todos los productos,False,ninguno
Plotear los productos más vendidos,1,barras
buscar productos de la marca nike,False,ninguno
hacer gráfica la participación de mercado,True,circular
Me gustaría proveedores con ruc que empieza con 20,False,ninguno
